iter	Passed	Remaining
974	6956	178
975	6960	171
976	6966	163
977	7011	157
978	7021	150
979	7032	143
980	7038	136
981	7043	129
982	7048	121
983	7053	114
984	7057	107
985	7063	100
986	7068	93
987	7072	85
988	7077	78
989	7082	71
990	7087	64
991	7092	57
992	7097	50
993	7103	42
994	7108	35
995	7114	28
996	7119	21
997	7124	14
998	7129	7
999	7135	0
